Indecent Proposal (1993);Drama|Romance;NoTags
Permanent Midnight (1998);Drama;NoTags
One True Thing (1998);Drama;NoTags
Rush Hour (1998);Action|Comedy|Crime|Thriller;NoTags
Six-String Samurai (1998);Action|Adventure|Sci-Fi;NoTags
Ronin (1998);Action|Crime|Thriller;NoTags
Urban Legend (1998);Horror|Thriller;NoTags
Clay Pigeons (1998);Crime;NoTags
Monument Ave. (1998);Action|Crime|Drama;NoTags
Pecker (1998);Comedy|Drama;NoTags
Sheltering Sky, The (1990);Drama;NoTags
Fiendish Plot of Dr. Fu Manchu, The (1980);Comedy;NoTags
Them! (1954);Horror|Sci-Fi|Thriller;NoTags
Thing, The (1982);Action|Horror|Sci-Fi|Thriller;NoTags
Player, The (1992);Comedy|Crime|Drama;NoTags
Stardust Memories (1980);Comedy|Drama;NoTags
Edward Scissorhands (1990);Drama|Fantasy|Romance;freaks
Overnight Delivery (1998);Comedy|Romance;NoTags
Antz (1998);Adventure|Animation|Children|Comedy|Fantasy;NoTags
Impostors, The (1998);Comedy;Screwball
Night at the Roxbury, A (1998);Comedy;SNL
What Dreams May Come (1998);Adventure|Drama|Fantasy|Romance;NoTags
Strangeland (1998);Thriller;NoTags
Producers, The (1968);Comedy;Broadway
History of the World: Part I (1981);Comedy|Musical;NoTags
My Cousin Vinny (1992);Comedy;court
Nashville (1975);Drama|Musical;NoTags
Love Is the Devil (1998);Drama;NoTags
Holy Man (1998);Comedy;NoTags
One Tough Cop (1998);Action|Crime;NoTags
Mighty, The (1998);Drama;adolescence
2010: The Year We Make Contact (1984);Sci-Fi;NoTags
Children of a Lesser God (1986);Drama;death penalty
Elephant Man, The (1980);Drama;freaks
Beloved (1998);Drama;NoTags
Bride of Chucky (Child's Play 4) (1998);Comedy|Horror|Thriller;NoTags
Practical Magic (1998);Drama|Fantasy|Mystery|Romance;NoTags
Happiness (1998);Comedy|Drama;NoTags
Apt Pupil (1998);Drama|Thriller;NoTags
Pleasantville (1998);Comedy|Drama|Fantasy;NoTags
Soldier (1998);Action|Sci-Fi|War;NoTags
Cruise, The (1998);Documentary;NoTags
Life Is Beautiful (La Vita è bella) (1997);Comedy|Drama|Romance|War;Holocaust|bittersweet|emotional|Heartwarming|poignant|sentimental|tear jerker|tearjerking
Orgazmo (1997);Comedy;NoTags
Tales from the Darkside: The Movie (1990);Fantasy|Horror|Thriller;NoTags
Vampires (1998);Horror|Western;NoTags
American History X (1998);Crime|Drama;thought-provoking|racism|edward norton|emotional|politics
Hands on a Hard Body (1996);Comedy|Documentary;NoTags
Living Out Loud (1998);Comedy|Drama|Romance;NoTags
Belly (1998);Crime|Drama;NoTags
Gods and Monsters (1998);Drama;NoTags
Siege, The (1998);Action|Thriller;terrorism
Waterboy, The (1998);Comedy;football
Elizabeth (1998);Drama;England
Velvet Goldmine (1998);Drama;NoTags
I Still Know What You Did Last Summer (1998);Horror|Mystery|Thriller;NoTags
I'll Be Home For Christmas (1998);Comedy|Romance;NoTags
Meet Joe Black (1998);Romance;NoTags
Hard Core Logo (1996);Comedy|Drama;NoTags
Runaway Train (1985);Action|Adventure|Drama|Thriller;NoTags
Stepford Wives, The (1975);Mystery|Sci-Fi|Thriller;NoTags
Pope of Greenwich Village, The (1984);Drama;NoTags
Sid and Nancy (1986);Drama;NoTags
Mona Lisa (1986);Comedy|Thriller;NoTags
Heart Condition (1990);Comedy;NoTags
Nights of Cabiria (Notti di Cabiria, Le) (1957);Drama;In Netflix queue
Big Chill, The (1983);Comedy|Drama;NoTags
Enemy of the State (1998);Action|Thriller;NoTags
Rugrats Movie, The (1998);Animation|Children|Comedy;NoTags
Bug's Life, A (1998);Adventure|Animation|Children|Comedy;Pixar
Celebrity (1998);Comedy;NoTags
Central Station (Central do Brasil) (1998);Drama;South America
Savior (1998);Drama|War;NoTags
Waking Ned Devine (a.k.a. Waking Ned) (1998);Comedy;NoTags
Celebration, The (Festen) (1998);Drama;In Netflix queue
Pink Flamingos (1972);Comedy;NoTags
Glen or Glenda (1953);Drama;NoTags
Godzilla (Gojira) (1954);Drama|Horror|Sci-Fi;NoTags
Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984);Action|Horror|Sci-Fi|Thriller;NoTags
King Kong vs. Godzilla (Kingukongu tai Gojira) (1962);Action|Sci-Fi;NoTags
King Kong (1933);Action|Adventure|Fantasy|Horror;NoTags
King Kong (1976);Adventure|Fantasy|Romance|Sci-Fi|Thriller;NoTags
King Kong Lives (1986);Adventure|Sci-Fi;NoTags
Desperately Seeking Susan (1985);Comedy|Drama|Romance;NoTags
Emerald Forest, The (1985);Action|Adventure|Drama;NoTags
Fletch (1985);Comedy|Crime|Mystery;NoTags
Fletch Lives (1989);Comedy;NoTags
Red Sonja (1985);Action|Adventure|Fantasy;NoTags
Gung Ho (1986);Comedy|Drama;NoTags
Money Pit, The (1986);Comedy;NoTags
View to a Kill, A (1985);Action|Adventure|Thriller;NoTags
Lifeforce (1985);Horror|Sci-Fi;NoTags
Police Academy (1984);Comedy|Crime;NoTags
Police Academy 2: Their First Assignment (1985);Comedy|Crime;NoTags
Police Academy 3: Back in Training (1986);Comedy|Crime;NoTags
Police Academy 4: Citizens on Patrol (1987);Comedy|Crime;NoTags
Police Academy 5: Assignment: Miami Beach (1988);Comedy|Crime;NoTags
Police Academy 6: City Under Siege (1989);Comedy|Crime;NoTags
Babe: Pig in the City (1998);Adventure|Children|Drama;NoTags
Home Fries (1998);Comedy|Romance;NoTags
Very Bad Things (1998);Comedy|Crime;dark comedy|dark humor
Steam: The Turkish Bath (Hamam) (1997);Drama|Romance;NoTags
Psycho (1998);Crime|Horror|Thriller;NoTags
Little Voice (1998);Comedy;In Netflix queue
Simple Plan, A (1998);Crime|Drama|Thriller;heist
Jack Frost (1998);Children|Comedy|Drama;NoTags
Star Trek: Insurrection (1998);Action|Drama|Romance|Sci-Fi;cameo:Whoopi Goldberg|space opera|Star Trek
Prince of Egypt, The (1998);Animation|Musical;Bible|Moses
Rushmore (1998);Comedy|Drama;NoTags
Shakespeare in Love (1998);Comedy|Drama|Romance;England
Miracle on 34th Street (1947);Comedy|Drama;NoTags
Santa Claus: The Movie (1985);Adventure|Children|Fantasy;NoTags
Prancer (1989);Children|Drama|Fantasy;NoTags
Pale Rider (1985);Western;NoTags
Rambo: First Blood Part II (1985);Action|Adventure|Thriller;NoTags
First Blood (Rambo: First Blood) (1982);Action|Adventure|Drama|Thriller;NoTags
Rambo III (1988);Action|Adventure|Thriller|War;NoTags
Jewel of the Nile, The (1985);Action|Adventure|Comedy|Romance;NoTags
Romancing the Stone (1984);Action|Adventure|Comedy|Romance;NoTags
Cocoon (1985);Comedy|Sci-Fi;NoTags
Cocoon: The Return (1988);Comedy|Sci-Fi;NoTags
Rocky II (1979);Action|Drama;NoTags
Rocky III (1982);Action|Drama;boxing
Rocky IV (1985);Action|Drama;boxing
Rocky V (1990);Action|Drama;boxing
Clue (1985);Comedy|Crime|Mystery|Thriller;NoTags
Young Sherlock Holmes (1985);Action|Adventure|Children|Fantasy|Mystery|Thriller;NoTags
Violets Are Blue... (1986);Drama|Romance;NoTags
Back to School (1986);Comedy;NoTags
Heartburn (1986);Comedy|Drama;NoTags
Nothing in Common (1986);Comedy;NoTags
Extremities (1986);Drama|Thriller;NoTags
Karate Kid, The (1984);Drama;martial arts
Karate Kid, Part II, The (1986);Action|Adventure|Drama;martial arts
Karate Kid, Part III, The (1989);Action|Adventure|Children|Drama;martial arts
Christmas Vacation (National Lampoon's Christmas Vacation) (1989);Comedy;christmas
You've Got Mail (1998);Comedy|Romance;e-mail|remake
General, The (1998);Crime;NoTags
Thin Red Line, The (1998);Action|Drama|War;NoTags
Faculty, The (1998);Horror|Sci-Fi;NoTags
Mighty Joe Young (1998);Action|Adventure|Drama|Fantasy|Thriller;NoTags
Mighty Joe Young (1949);Adventure|Children|Drama;NoTags
Patch Adams (1998);Comedy|Drama;doctors|bad
Stepmom (1998);Drama;NoTags
Civil Action, A (1998);Drama;NoTags
Hurlyburly (1998);Drama;NoTags
Tea with Mussolini (1999);Comedy|Drama|War;NoTags
Affliction (1997);Drama;NoTags
Hilary and Jackie (1998);Drama;In Netflix queue
Playing by Heart (1998);Drama|Romance;NoTags
At First Sight (1999);Drama;NoTags
In Dreams (1999);Horror|Thriller;NoTags
Varsity Blues (1999);Comedy|Drama;NoTags
Virus (1999);Horror|Sci-Fi;NoTags
Howard the Duck (1986);Adventure|Comedy|Sci-Fi;NoTags
Gate, The (1987);Horror;NoTags
Boy Who Could Fly, The (1986);Drama|Fantasy;NoTags
Fly, The (1958);Horror|Mystery|Sci-Fi;NoTags
Fly, The (1986);Drama|Horror|Sci-Fi|Thriller;NoTags
Fly II, The (1989);Horror|Sci-Fi;NoTags
Running Scared (1986);Action|Comedy;NoTags
Armed and Dangerous (1986);Comedy|Crime;NoTags
Texas Chainsaw Massacre, The (1974);Horror;NoTags
Texas Chainsaw Massacre 2, The (1986);Horror;NoTags
Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994);Horror;NoTags
Ruthless People (1986);Comedy;kidnapping
Deadly Friend (1986);Horror;NoTags
Name of the Rose, The (Name der Rose, Der) (1986);Crime|Drama|Mystery|Thriller;religion
Jumpin' Jack Flash (1986);Action|Comedy|Romance|Thriller;NoTags
Peggy Sue Got Married (1986);Comedy|Drama;NoTags
Crocodile Dundee (1986);Adventure|Comedy;Australia
Crocodile Dundee II (1988);Action|Adventure|Comedy;Australia
Tough Guys (1986);Comedy;NoTags
Soul Man (1986);Comedy;NoTags
Color of Money, The (1986);Drama;NoTags
52 Pick-Up (1986);Action|Mystery|Thriller;NoTags
Heartbreak Ridge (1986);Action|War;NoTags
Firewalker (1986);Adventure;NoTags
¡Three Amigos! (1986);Comedy|Western;NoTags
My Name Is Joe (1998);Drama|Romance;NoTags
Still Crazy (1998);Comedy|Romance;NoTags
Day of the Beast, The (Día de la Bestia, El) (1995);Adventure|Comedy|Thriller;NoTags
She's All That (1999);Comedy|Romance;NoTags
Peeping Tom (1960);Drama|Horror|Thriller;NoTags
Payback (1999);Action|Thriller;NoTags
Simply Irresistible (1999);Comedy|Romance;food
20 Dates (1998);Comedy|Romance;NoTags
Harmonists, The (1997);Drama;NoTags
Last Days, The (1998);Documentary;Holocaust|Hungary
Fantastic Planet, The (Planète sauvage, La) (1973);Animation|Sci-Fi;NoTags
Blast from the Past (1999);Comedy|Romance;NoTags
Message in a Bottle (1999);Romance;NoTags
My Favorite Martian (1999);Comedy|Sci-Fi;NoTags
Jawbreaker (1999);Comedy;NoTags
October Sky (1999);Drama;NoTags
Office Space (1999);Comedy|Crime;stapler|workplace
Apple, The (Sib) (1998);Drama;NoTags
200 Cigarettes (1999);Comedy|Drama;NoTags
8MM (1999);Drama|Mystery|Thriller;Nicolas Cage
Other Sister, The (1999);Comedy|Drama|Romance;disability
Long Goodbye, The (1973);Crime|Film-Noir;NoTags
Ballad of Narayama, The (Narayama bushiko) (1983);Drama;NoTags
Pet Sematary (1989);Horror;NoTags
Pet Sematary II (1992);Comedy|Horror;NoTags
Children of the Corn II: The Final Sacrifice (1993);Horror;NoTags
Children of the Corn III (1994);Horror;NoTags
Christine (1983);Horror;Stephen King
Night Shift (1982);Comedy;NoTags
Airport (1970);Drama;NoTags
Airport 1975 (1974);Action|Drama|Thriller;NoTags
Airport '77 (1977);Drama;NoTags
Rollercoaster (1977);Drama|Thriller;NoTags
Towering Inferno, The (1974);Action|Adventure|Drama|Thriller;NoTags
Alligator (1980);Action|Horror|Sci-Fi;NoTags
Meteor (1979);Sci-Fi;NoTags
Westworld (1973);Action|Sci-Fi|Thriller|Western;NoTags
Logan's Run (1976);Action|Adventure|Sci-Fi;NoTags
Planet of the Apes (1968);Action|Drama|Sci-Fi;twist ending
Beneath the Planet of the Apes (1970);Action|Sci-Fi;NoTags
Battle for the Planet of the Apes (1973);Action|Sci-Fi;NoTags
Conquest of the Planet of the Apes (1972);Action|Sci-Fi;NoTags
Escape from the Planet of the Apes (1971);Action|Sci-Fi;NoTags
Avalanche (1978);Action;NoTags
Earthquake (1974);Action|Drama|Thriller;NoTags
Beyond the Poseidon Adventure (1979);Adventure;NoTags
Dancemaker (1998);Documentary;NoTags
Analyze This (1999);Comedy;NoTags
Corruptor, The (1999);Action|Crime|Drama|Thriller;NoTags
Cruel Intentions (1999);Drama;NoTags
Lock, Stock & Two Smoking Barrels (1998);Comedy|Crime|Thriller;NoTags
School of Flesh, The (École de la chair, L') (1998);Drama|Romance;NoTags
Deep End of the Ocean, The (1999);Drama;NoTags
Rage: Carrie 2, The (1999);Horror;NoTags
Wing Commander (1999);Action|Sci-Fi;NoTags
Haunting, The (1963);Horror|Thriller;ghosts
Dead Ringers (1988);Drama|Horror|Thriller;NoTags
My Boyfriend's Back (1993);Comedy;NoTags
Village of the Damned (1960);Horror|Sci-Fi|Thriller;evil children
Children of the Damned (1963);Horror|Sci-Fi|Thriller;evil children
Baby Geniuses (1999);Comedy;NoTags
I Stand Alone (Seul contre tous) (1998);Drama|Thriller;NoTags
Forces of Nature (1999);Comedy|Romance;NoTags
King and I, The (1999);Animation|Children;NoTags
Ravenous (1999);Horror|Thriller;NoTags
True Crime (1999);Crime|Thriller;NoTags
Dangerous Beauty (1998);Drama;NoTags
King and I, The (1956);Drama|Musical|Romance;Siam
Doug's 1st Movie (1999);Animation|Children;NoTags
EDtv (1999);Comedy;NoTags
Mod Squad, The (1999);Action|Crime;NoTags
Walk on the Moon, A (1999);Drama|Romance;NoTags
Matrix, The (1999);Action|Sci-Fi|Thriller;martial arts|sci-fi|alternate universe|philosophy|post apocalyptic
10 Things I Hate About You (1999);Comedy|Romance;Shakespeare sort of
Tango (1998);Drama|Musical;NoTags
Out-of-Towners, The (1999);Comedy;NoTags
Dreamlife of Angels, The (Vie rêvée des anges, La) (1998);Drama;NoTags
Metroland (1997);Comedy|Drama;NoTags
Following (1998);Crime|Mystery|Thriller;black and white|Christopher Nolan|directorial debut|mindfuck|not linear|Twist Ending|black and white
Go (1999);Comedy|Crime;NoTags
Never Been Kissed (1999);Comedy|Romance;high school
Twin Dragons (Shuang long hui) (1992);Action|Comedy;NoTags
Cookie's Fortune (1999);Comedy|Drama;southern US
Lovers of the Arctic Circle, The (Los Amantes del Círculo Polar) (1998);Drama|Romance;NoTags
Goodbye Lover (1999);Comedy|Crime|Thriller;NoTags
Life (1999);Comedy|Crime|Drama;NoTags
Friends & Lovers (1999);Comedy|Drama|Romance;NoTags
Hideous Kinky (1998);Drama;NoTags
Monster, The (Mostro, Il) (1994);Comedy;NoTags
Open Your Eyes (Abre los ojos) (1997);Drama|Romance|Sci-Fi|Thriller;NoTags
SLC Punk! (1998);Comedy|Drama;NoTags
Lost & Found (1999);Comedy|Romance;NoTags
Pushing Tin (1999);Comedy;golfing
Election (1999);Comedy;NoTags
eXistenZ (1999);Action|Sci-Fi|Thriller;virtual reality
Entrapment (1999);Crime|Thriller;NoTags
Idle Hands (1999);Comedy|Horror;NoTags
Get Real (1998);Drama|Romance;NoTags
King of Masks, The (Bian Lian) (1996);Drama;NoTags
Winslow Boy, The (1999);Drama;NoTags
Mildred Pierce (1945);Drama|Film-Noir;motherhood
Night of the Comet (1984);Comedy|Horror|Sci-Fi;NoTags
Chopping Mall (a.k.a. Killbots) (1986);Action|Horror|Sci-Fi;NoTags
My Science Project (1985);Adventure|Sci-Fi;NoTags
Dick Tracy (1990);Action|Crime;comic book
Mummy, The (1999);Action|Adventure|Comedy|Fantasy|Horror|Thriller;NoTags
Castle, The (1997);Comedy;NoTags
This Is My Father (1998);Drama|Romance;NoTags
William Shakespeare's A Midsummer Night's Dream (1999);Comedy|Fantasy;NoTags
Trippin' (1999);Comedy;NoTags
After Life (Wandafuru raifu) (1998);Drama|Fantasy;NoTags
Black Mask (Hak hap) (1996);Action|Adventure|Crime|Sci-Fi|Thriller;NoTags
Star Wars: Episode I - The Phantom Menace (1999);Action|Adventure|Sci-Fi;prequel|the Force
Love Letter, The (1999);Comedy|Romance;NoTags
Besieged (a.k.a. L' Assedio) (1998);Drama;NoTags
Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965);Adventure|Drama|Mystery;NoTags
Mummy, The (1932);Horror|Romance;NoTags
Mummy, The (1959);Horror;NoTags
Mommie Dearest (1981);Drama;NoTags
Superman (1978);Action|Adventure|Sci-Fi;superhero
Superman II (1980);Action|Sci-Fi;superhero
Superman III (1983);Action|Adventure|Sci-Fi;superhero
Superman IV: The Quest for Peace (1987);Action|Adventure|Sci-Fi;NoTags
Dracula (1931);Horror;NoTags
Frankenstein (1931);Drama|Horror|Sci-Fi;In Netflix queue
Frankenstein Meets the Wolf Man (1943);Horror;NoTags
Curse of Frankenstein, The (1957);Horror;NoTags
Wolf Man, The (1941);Drama|Fantasy|Horror;NoTags
Howling II: Your Sister Is a Werewolf (1985);Horror;NoTags
Tarantula (1955);Horror|Sci-Fi;NoTags
Rocky Horror Picture Show, The (1975);Comedy|Horror|Musical|Sci-Fi;NoTags
It Came from Hollywood (1982);Comedy|Documentary;NoTags
Thing from Another World, The (1951);Horror|Sci-Fi;aliens
It Came from Outer Space (1953);Sci-Fi;NoTags
War of the Worlds, The (1953);Action|Drama|Sci-Fi;classic
Invasion of the Body Snatchers (1956);Horror|Sci-Fi|Thriller;1950s
Earth vs. the Flying Saucers (1956);Sci-Fi;NoTags
Swamp Thing (1982);Horror|Sci-Fi;NoTags
Pork Chop Hill (1959);War;NoTags
Run Silent Run Deep (1958);War;NoTags
Notting Hill (1999);Comedy|Romance;NoTags
Thirteenth Floor, The (1999);Drama|Sci-Fi|Thriller;NoTags
Loss of Sexual Innocence, The (1999);Drama|Fantasy;NoTags
Instinct (1999);Drama|Thriller;NoTags
Buena Vista Social Club (1999);Documentary|Musical;In Netflix queue
Free Enterprise (1998);Comedy|Romance|Sci-Fi;NoTags
Limbo (1999);Drama;NoTags
Austin Powers: The Spy Who Shagged Me (1999);Action|Adventure|Comedy;NoTags
Red Violin, The (Violon rouge, Le) (1998);Drama|Mystery;NoTags
Tarzan (1999);Adventure|Animation|Children|Drama;NoTags
General's Daughter, The (1999);Crime|Drama|Mystery|Thriller;NoTags
Ideal Husband, An (1999);Comedy|Romance;NoTags
Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998);Drama;NoTags
Run Lola Run (Lola rennt) (1998);Action|Crime;alternate endings
Trekkies (1997);Documentary;Star Trek
Big Daddy (1999);Comedy;Adam Sandler
Boys, The (1998);Drama;NoTags
Dinner Game, The (Dîner de cons, Le) (1998);Comedy;NoTags
My Son the Fanatic (1997);Comedy|Drama|Romance;NoTags
Zone 39 (1997);Sci-Fi;NoTags
Arachnophobia (1990);Comedy|Horror;spiders
South Park: Bigger, Longer and Uncut (1999);Animation|Comedy|Musical;adult humor|controversial|crude humor|free speech|parody|satire|south park|Trey Parker
Wild Wild West (1999);Action|Comedy|Sci-Fi|Western;NoTags
Summer of Sam (1999);Drama;NoTags
American Pie (1999);Comedy|Romance;best comedy|Chris Klein|dumb|Jason Biggs|not funny|pizza beer|Seann William Scott|teen
Arlington Road (1999);Thriller;NoTags
Autumn Tale, An (Conte d'automne) (1998);Romance;NoTags
Muppets From Space (1999);Children|Comedy;NoTags
Blair Witch Project, The (1999);Drama|Horror|Thriller;claims to be true|video
Eyes Wide Shut (1999);Drama|Mystery|Thriller;sexuality
Lake Placid (1999);Horror|Thriller;NoTags
Ghostbusters (a.k.a. Ghost Busters) (1984);Action|Comedy|Sci-Fi;ghosts
Ghostbusters II (1989);Comedy|Fantasy|Sci-Fi;Ghosts
Drop Dead Gorgeous (1999);Comedy;NoTags
Haunting, The (1999);Horror|Thriller;remake
Inspector Gadget (1999);Action|Adventure|Children|Comedy;NoTags
Deep Blue Sea (1999);Action|Horror|Sci-Fi|Thriller;NoTags
Mystery Men (1999);Action|Comedy|Fantasy;superhero
Runaway Bride (1999);Comedy|Romance;NoTags
Twin Falls Idaho (1999);Drama;NoTags
Killing, The (1956);Crime|Film-Noir;heist
Killer's Kiss (1955);Crime|Film-Noir;NoTags
Spartacus (1960);Action|Drama|Romance|War;crucifixion|Rome|slavery
Lolita (1962);Drama|Romance;NoTags
Barry Lyndon (1975);Drama|Romance|War;NoTags
400 Blows, The (Les quatre cents coups) (1959);Crime|Drama;emotional|gentle|heartwarming|lyrical|reflective
Jules and Jim (Jules et Jim) (1961);Drama|Romance;NoTags
Vibes (1988);Adventure|Comedy|Romance;NoTags
Mosquito Coast, The (1986);Adventure|Drama|Thriller;NoTags
Golden Child, The (1986);Action|Adventure|Comedy|Fantasy|Mystery;NoTags
